order_id,customer_id,delivery_status,delivery_time
123,1076,On Time,37
124,1418,On Time,90
125,1427,Delayed,79
126,1779,On Time,157
127,1786,On Time,26
128,1662,On Time,59
129,1283,On Time,134
130,1959,On Time,60
131,1002,On Time,102
132,1435,On Time,146
133,1184,Delayed,105
134,1040,On Time,21
135,1532,On Time,170
136,1064,Delayed,28
137,1383,On Time,130
138,1472,On Time,58
139,1650,On Time,82
140,1288,On Time,165
141,1522,On Time,150
142,1634,On Time,16
143,1786,On Time,174
144,1308,On Time,15
145,1620,On Time,116
146,1718,On Time,51
147,1685,On Time,159
148,1377,On Time,165
149,1931,On Time,47
150,1154,Delayed,58
151,1948,On Time,174
152,1653,On Time,50
153,1493,On Time,122
154,1763,On Time,125
155,1162,On Time,138
156,1465,On Time,89
157,1874,On Time,66
158,1634,On Time,102
159,1330,Delayed,176
160,1842,On Time,177
161,1211,On Time,98
162,1122,On Time,54
163,1187,On Time,20
164,1390,On Time,51
165,1437,On Time,43
166,1568,On Time,81
167,1699,On Time,88
168,1507,On Time,145
169,1467,On Time,33
170,1665,On Time,166
171,1288,On Time,154
172,1672,On Time,96
173,1692,On Time,85
174,1178,On Time,43
175,1313,On Time,153
176,1040,On Time,151
177,1813,On Time,132
178,1881,On Time,29
179,1320,On Time,100
180,1014,On Time,87
181,1163,On Time,41
182,1840,On Time,89
183,1374,On Time,148
184,1733,On Time,128
185,1446,On Time,100
186,1869,On Time,20
187,1617,On Time,42
188,1153,On Time,154
189,1016,On Time,27
190,1815,On Time,97
191,1021,On Time,38
192,1526,On Time,65
193,1453,On Time,17
194,1986,On Time,97
195,1687,On Time,64
196,1615,Delayed,27
197,1608,Delayed,133
198,1807,On Time,117
199,1278,On Time,33
200,1284,On Time,72
201,1254,Delayed,177
202,1053,On Time,104
203,1371,On Time,75
204,1229,On Time,99
205,1063,Delayed,148
206,1503,On Time,16
207,1955,On Time,174
208,1951,On Time,128
209,1642,On Time,27
210,1533,On Time,111
211,1393,On Time,27
212,1187,On Time,151
213,1157,On Time,153
214,1100,Delayed,123
215,1434,On Time,76
216,1360,On Time,118
217,1051,On Time,27
218,1877,On Time,96
219,1969,On Time,150
220,1642,On Time,143
221,1677,On Time,167
222,1475,On Time,48
223,1545,On Time,86
224,1124,On Time,168
225,1705,On Time,152
226,1785,On Time,113
227,1849,On Time,41
228,1253,Delayed,82
229,1609,On Time,50
230,1797,On Time,66
231,1907,On Time,162
232,1346,On Time,134
233,1610,Delayed,20
234,1826,On Time,164
235,1142,Delayed,177
236,1679,Delayed,59
237,1099,On Time,101
238,1799,Delayed,66
239,1724,On Time,72
240,1432,Delayed,111
241,1424,Delayed,103
242,1274,On Time,168
243,1638,On Time,64
244,1586,On Time,99
245,1948,On Time,16
246,1650,On Time,25
247,1774,Delayed,24
248,1607,On Time,60
249,1960,On Time,160
250,1909,On Time,177
251,1876,On Time,69
252,1067,Delayed,36
253,1229,On Time,54
254,1134,On Time,148
255,1664,On Time,97
256,1124,On Time,146
257,1298,On Time,141
258,1184,On Time,71
259,1576,On Time,132
260,1909,On Time,114
261,1760,On Time,119
262,1216,On Time,81
263,1609,On Time,98
264,1279,Delayed,15
265,1771,On Time,132
266,1541,On Time,28
267,1862,On Time,28
268,1284,On Time,58
269,1599,On Time,20
270,1355,On Time,126
271,1879,On Time,92
272,1439,On Time,84
273,1665,On Time,91
274,1461,On Time,64
275,1989,On Time,32
276,1529,Delayed,52
277,1954,On Time,80
278,1337,On Time,174
279,1931,On Time,123
280,1565,On Time,115
281,1489,On Time,16
282,1279,On Time,167
283,1268,On Time,107
284,1455,On Time,113
285,1426,On Time,26
286,1301,On Time,176
287,1159,On Time,55
288,1882,On Time,24
289,1991,On Time,49
290,1655,Delayed,56
291,1757,On Time,127
292,1856,On Time,84
293,1961,On Time,162
294,1634,On Time,154
295,1737,On Time,84
296,1596,On Time,59
297,1272,On Time,164
298,1717,On Time,18
299,1914,On Time,72
300,1099,On Time,128
301,1147,Delayed,174
302,1573,On Time,144
303,1921,On Time,168
304,1058,On Time,121
305,1942,On Time,18
306,1387,On Time,178
307,1402,On Time,117
308,1413,On Time,90
309,1972,On Time,54
310,1255,On Time,149
311,1218,Delayed,138
312,1059,On Time,36
313,1863,On Time,147
314,1716,On Time,170
315,1460,On Time,79
316,1926,On Time,21
317,1313,On Time,39
318,1046,On Time,98
319,1131,Delayed,79
320,1917,On Time,92
321,1169,On Time,67
322,1119,Delayed,112
323,1498,On Time,37
324,1017,On Time,155
325,1911,On Time,21
326,1494,On Time,133
327,1035,On Time,136
328,1237,On Time,73
329,1234,On Time,46
330,1709,On Time,44
331,1498,On Time,179
332,1990,Delayed,155
333,1451,On Time,124
334,1593,On Time,166
335,1841,On Time,42
336,1754,On Time,99
337,1331,On Time,83
338,1716,On Time,72
339,1292,On Time,38
340,1793,On Time,47
341,1335,On Time,45
342,1520,On Time,118
343,1086,On Time,99
344,1895,On Time,65
345,1866,On Time,101
346,1771,On Time,177
347,1079,Delayed,75
348,1665,On Time,57
349,1991,On Time,165
350,1548,On Time,17
351,1566,On Time,114
352,1847,On Time,161
353,1347,On Time,18
354,1844,On Time,54
355,1612,Delayed,136
356,1767,Delayed,128
357,1529,On Time,118
358,1667,On Time,96
359,1023,On Time,122
360,1132,On Time,20
361,1120,On Time,90
362,1662,Delayed,90
363,1583,On Time,82
364,1227,On Time,88
365,1581,On Time,23
366,1784,On Time,38
367,1202,On Time,36
368,1994,On Time,23
369,1872,On Time,79
370,1391,On Time,99
371,1829,On Time,78
372,1328,On Time,33
373,1193,Delayed,109
374,1517,On Time,99
375,1811,On Time,175
376,1605,On Time,117
377,1023,On Time,78
378,1574,On Time,39
379,1904,On Time,20
380,1751,On Time,47
381,1305,On Time,152
382,1563,On Time,116
383,1243,On Time,137
384,1808,Delayed,106
385,1010,On Time,148
386,1037,On Time,161
387,1700,On Time,65
388,1030,On Time,71
389,1505,On Time,102
390,1326,On Time,16
391,1113,On Time,17
392,1817,On Time,93
393,1736,On Time,106
394,1487,On Time,80
395,1948,Delayed,49
396,1745,Delayed,141
397,1240,On Time,37
398,1314,On Time,63
399,1645,Delayed,160
400,1137,On Time,41
401,1794,On Time,147
402,1710,Delayed,132
403,1791,On Time,75
404,1154,On Time,45
405,1104,On Time,165
406,1105,On Time,129
407,1105,On Time,15
408,1269,On Time,68
409,1182,Delayed,49
410,1101,On Time,42
411,1295,On Time,162
412,1658,On Time,63
413,1676,On Time,16
414,1302,On Time,121
415,1137,On Time,157
416,1538,On Time,115
417,1076,On Time,136
418,1179,On Time,123
419,1604,On Time,62
420,1102,On Time,59
421,1493,Delayed,51
422,1650,Delayed,131
423,1436,Delayed,114
424,1561,On Time,178
425,1092,On Time,179
426,1393,On Time,129
427,1026,On Time,129
428,1654,On Time,166
429,1547,On Time,74
430,1911,On Time,165
431,1956,On Time,72
432,1280,On Time,133
433,1968,On Time,59
434,1809,On Time,150
435,1336,On Time,73
436,1609,Delayed,110
437,1296,Delayed,98
438,1731,On Time,61
439,1076,On Time,76
440,1649,On Time,113
441,1801,On Time,71
442,1548,On Time,54
443,1014,On Time,48
444,1415,On Time,161
445,1184,On Time,102
446,1478,On Time,60
447,1330,On Time,130
448,1455,On Time,28
449,1766,On Time,44
450,1408,On Time,149
451,1401,On Time,114
452,1524,Delayed,144
453,1400,On Time,119
454,1331,On Time,106
455,1347,On Time,155
456,1073,On Time,158
457,1049,On Time,113
458,1247,On Time,119
459,1770,On Time,137
460,1761,On Time,48
461,1677,On Time,145
462,1085,On Time,71
463,1872,Delayed,98
464,1916,On Time,25
465,1391,On Time,98
466,1001,Delayed,37
467,1889,On Time,15
468,1434,On Time,126
469,1576,On Time,113
470,1290,On Time,104
471,1895,On Time,44
472,1983,On Time,30
473,1031,On Time,79
474,1418,On Time,96
475,1321,On Time,145
476,1243,Delayed,103
477,1458,On Time,115
478,1645,On Time,54
479,1991,On Time,49
480,1193,Delayed,175
481,1925,On Time,37
482,1725,On Time,61
483,1715,On Time,69
484,1669,On Time,119
485,1141,Delayed,178
486,1123,On Time,95
487,1749,On Time,48
488,1457,On Time,32
489,1065,Delayed,136
490,1808,On Time,169
491,1129,On Time,27
492,1678,On Time,85
493,1475,On Time,19
494,1664,On Time,168
495,1183,On Time,78
496,1320,On Time,83
497,1646,On Time,131
498,1141,On Time,73
499,1688,On Time,124
500,1293,On Time,26
501,1472,On Time,23
502,1742,On Time,77
503,1400,On Time,112
504,1237,On Time,48
505,1206,On Time,134
506,1771,On Time,57
507,1929,On Time,39
508,1791,On Time,55
509,1467,On Time,80
510,1462,On Time,151
511,1812,On Time,29
512,1635,On Time,103
513,1829,On Time,122
514,1458,On Time,29
515,1473,Delayed,118
516,1257,Delayed,79
517,1266,On Time,72
518,1866,On Time,149
519,1115,On Time,75
520,1183,On Time,81
521,1427,On Time,72
522,1656,On Time,63
523,1849,Delayed,62
524,1108,Delayed,178
525,1178,Delayed,122
526,1031,On Time,108
527,1820,On Time,56
528,1224,On Time,97
529,1934,On Time,69
530,1374,On Time,175
531,1997,On Time,70
532,1935,On Time,136
533,1182,On Time,158
534,1526,On Time,92
535,1109,Delayed,40
536,1388,On Time,99
537,1162,On Time,134
538,1279,On Time,149
539,1321,On Time,29
540,1329,On Time,170
541,1662,On Time,100
542,1366,Delayed,162
543,1226,On Time,54
544,1148,On Time,77
545,1404,On Time,177
546,1784,On Time,149
547,1625,On Time,151
548,1758,On Time,64
549,1389,On Time,78
550,1409,Delayed,148
551,1031,On Time,50
552,1863,On Time,154
553,1620,On Time,52
554,1068,On Time,168
555,1928,On Time,40
556,1745,On Time,165
557,1187,On Time,45
558,1471,On Time,25
559,1786,Delayed,68
560,1439,On Time,117
561,1074,On Time,53
562,1565,Delayed,104
563,1806,Delayed,175
564,1095,On Time,179
565,1925,On Time,47
566,1976,On Time,173
567,1087,On Time,76
568,1156,On Time,79
569,1730,On Time,151
570,1005,On Time,134
571,1058,On Time,76
572,1905,On Time,176
573,1866,On Time,58
574,1825,On Time,151
575,1931,On Time,51
576,1898,On Time,69
577,1889,On Time,90
578,1320,Delayed,56
579,1780,On Time,49
580,1312,On Time,131
581,1949,On Time,67
582,1919,On Time,24
583,1504,On Time,141
584,1589,On Time,87
585,1892,On Time,137
586,1632,On Time,68
587,1548,On Time,48
588,1531,On Time,118
589,1524,On Time,86
590,1329,On Time,24
591,1845,On Time,166
592,1468,On Time,174
593,1836,On Time,115
594,1734,On Time,78
595,1909,On Time,105
596,1136,On Time,155
597,1418,On Time,110
598,1024,On Time,107
599,1696,Delayed,77
600,1390,On Time,121
601,1961,Delayed,122
602,1157,On Time,68
603,1732,On Time,82
604,1398,On Time,42
605,1013,On Time,88
606,1065,On Time,47
607,1363,On Time,158
608,1897,Delayed,37
609,1597,On Time,144
610,1240,On Time,75
611,1206,On Time,67
612,1945,On Time,70
613,1554,On Time,165
614,1067,Delayed,60
615,1896,On Time,62
616,1944,On Time,107
617,1540,On Time,45
618,1369,On Time,28
619,1567,On Time,131
620,1954,On Time,48
621,1793,On Time,145
622,1469,On Time,37
623,1904,On Time,124
624,1385,On Time,86
625,1061,On Time,100
626,1886,On Time,141
627,1619,On Time,175
628,1667,On Time,172
629,1550,On Time,51
630,1416,On Time,117
631,1040,On Time,176
632,1495,On Time,112
633,1239,On Time,58
634,1897,On Time,106
635,1893,On Time,151
636,1484,On Time,50
637,1847,On Time,113
638,1863,On Time,95
639,1638,On Time,16
640,1423,On Time,159
641,1922,Delayed,109
642,1319,On Time,123
643,1289,On Time,86
644,1837,On Time,173
645,1479,On Time,138
646,1085,Delayed,36
647,1219,On Time,96
648,1824,On Time,168
649,1153,On Time,70
650,1045,On Time,146
651,1022,Delayed,122
652,1279,On Time,56
653,1662,On Time,23
654,1777,On Time,25
655,1760,Delayed,179
656,1488,Delayed,24
657,1117,On Time,82
658,1231,Delayed,77
659,1553,On Time,106
660,1548,On Time,123
661,1832,On Time,178
662,1660,On Time,113
663,1590,Delayed,33
664,1375,On Time,165
665,1954,On Time,128
666,1341,On Time,45
667,1505,On Time,120
668,1756,Delayed,67
669,1928,On Time,143
670,1419,On Time,151
671,1717,On Time,177
672,1792,On Time,61
673,1542,Delayed,135
674,1845,On Time,145
675,1680,On Time,95
676,1021,On Time,165
677,1982,On Time,51
678,1729,On Time,70
679,1902,Delayed,98
680,1894,On Time,108
681,1094,On Time,169
682,1736,On Time,87
683,1175,On Time,71
684,1912,On Time,85
685,1484,On Time,165
686,1425,On Time,166
687,1159,On Time,38
688,1882,On Time,84
689,1702,On Time,52
690,1212,On Time,122
691,1062,On Time,96
692,1750,On Time,137
693,1785,Delayed,25
694,1643,On Time,26
695,1206,On Time,76
696,1710,On Time,85
697,1002,Delayed,171
698,1487,On Time,110
699,1485,Delayed,115
700,1313,On Time,154
701,1729,On Time,59
702,1389,On Time,97
703,1292,On Time,162
704,1290,On Time,98
705,1923,On Time,160
706,1585,On Time,80
707,1778,Delayed,109
708,1369,On Time,95
709,1698,On Time,43
710,1589,On Time,139
711,1462,On Time,117
712,1568,On Time,96
713,1612,Delayed,173
714,1821,On Time,42
715,1603,On Time,79
716,1945,On Time,143
717,1833,On Time,69
718,1170,On Time,162
719,1647,On Time,115
720,1769,On Time,60
721,1265,Delayed,95
722,1906,On Time,49
723,1762,On Time,151
724,1003,Delayed,112
725,1726,On Time,137
726,1524,On Time,154
727,1620,On Time,156
728,1157,Delayed,72
729,1761,Delayed,46
730,1668,On Time,60
731,1016,On Time,117
732,1296,On Time,136
733,1182,On Time,176
734,1262,On Time,29
735,1426,Delayed,67
736,1816,On Time,38
737,1145,Delayed,34
738,1100,On Time,61
739,1166,On Time,24
740,1318,On Time,123
741,1830,On Time,105
742,1939,On Time,149
743,1286,On Time,162
744,1601,On Time,175
745,1277,Delayed,73
746,1303,On Time,23
747,1404,On Time,175
748,1794,On Time,48
749,1618,On Time,73
750,1085,Delayed,42
751,1817,On Time,23
752,1898,On Time,51
753,1710,On Time,42
754,1647,On Time,48
755,1143,On Time,16
756,1250,On Time,155
757,1394,On Time,140
758,1838,On Time,167
759,1429,On Time,165
760,1698,On Time,15
761,1403,On Time,162
762,1100,On Time,78
763,1878,On Time,141
764,1288,Delayed,177
765,1043,Delayed,40
766,1170,On Time,122
767,1802,On Time,179
768,1278,On Time,134
769,1997,On Time,96
770,1530,On Time,151
771,1830,On Time,143
772,1190,On Time,118
773,1877,On Time,78
774,1161,On Time,140
775,1528,On Time,159
776,1494,Delayed,82
777,1813,On Time,171
778,1155,On Time,70
779,1125,On Time,76
780,1113,On Time,15
781,1565,On Time,19
782,1491,On Time,46
783,1371,On Time,78
784,1544,On Time,71
785,1710,On Time,96
786,1826,On Time,113
787,1933,Delayed,42
788,1061,On Time,150
789,1817,On Time,110
790,1003,Delayed,144
791,1237,On Time,116
792,1783,On Time,104
793,1684,On Time,73
794,1870,On Time,62
795,1762,On Time,109
796,1144,On Time,121
797,1034,On Time,19
798,1328,On Time,141
799,1556,Delayed,53
800,1789,On Time,144
801,1450,On Time,106
802,1263,On Time,99
803,1768,On Time,18
804,1723,Delayed,27
805,1261,On Time,111
806,1433,On Time,134
807,1200,On Time,53
808,1162,Delayed,107
809,1752,On Time,176
810,1555,On Time,133
811,1501,On Time,30
812,1959,On Time,173
813,1847,On Time,140
814,1759,Delayed,110
815,1067,Delayed,170
816,1679,On Time,107
817,1532,On Time,69
818,1015,On Time,144
819,1190,On Time,89
820,1695,On Time,50
821,1770,On Time,139
822,1021,On Time,105
823,1771,On Time,167
824,1435,Delayed,62
825,1194,On Time,91
826,1847,On Time,107
827,1068,On Time,76
828,1874,On Time,132
829,1442,On Time,47
830,1313,On Time,32
831,1208,Delayed,159
832,1707,On Time,112
833,1289,On Time,79
834,1721,On Time,143
835,1118,On Time,105
836,1287,On Time,44
837,1968,On Time,83
838,1715,On Time,163
839,1642,On Time,107
840,1335,On Time,156
841,1831,On Time,55
842,1543,On Time,153
843,1057,On Time,149
844,1277,On Time,41
845,1537,On Time,127
846,1676,Delayed,119
847,1586,On Time,144
848,1189,On Time,175
849,1250,On Time,28
850,1606,On Time,48
851,1915,On Time,152
852,1849,On Time,118
853,1398,Delayed,39
854,1265,On Time,168
855,1995,On Time,39
856,1064,On Time,73
857,1466,On Time,72
858,1015,On Time,43
859,1696,On Time,18
860,1621,On Time,126
861,1034,On Time,175
862,1609,On Time,131
863,1196,On Time,85
864,1534,On Time,139
865,1741,On Time,149
866,1877,On Time,101
867,1784,On Time,162
868,1141,On Time,113
869,1179,On Time,21
870,1504,Delayed,176
871,1719,On Time,150
872,1911,On Time,118
873,1955,On Time,100
874,1447,On Time,38
875,1254,On Time,68
876,1964,On Time,94
877,1383,On Time,164
878,1026,On Time,118
879,1972,Delayed,109
880,1215,On Time,32
881,1196,On Time,110
882,1450,On Time,173
883,1869,On Time,100
884,1564,On Time,132
885,1733,Delayed,68
886,1612,On Time,94
887,1823,On Time,69
888,1696,On Time,64
889,1020,On Time,135
890,1319,On Time,40
891,1447,Delayed,64
892,1232,On Time,122
893,1167,Delayed,76
894,1203,On Time,135
895,1337,Delayed,47
896,1933,On Time,164
897,1041,On Time,164
898,1201,Delayed,63
899,1036,On Time,46
900,1648,On Time,101
901,1022,On Time,174
902,1111,On Time,95
903,1515,On Time,30
904,1531,On Time,26
905,1509,On Time,45
906,1917,Delayed,155
907,1461,On Time,91
908,1247,On Time,110
909,1071,Delayed,161
910,1113,On Time,95
911,1697,On Time,103
912,1782,On Time,96
913,1398,On Time,113
914,1685,On Time,28
915,1956,On Time,163
916,1036,Delayed,55
917,1899,On Time,32
918,1713,On Time,116
919,1767,On Time,164
920,1883,On Time,161
921,1975,On Time,102
922,1306,On Time,133
923,1368,On Time,40
924,1031,On Time,138
925,1861,On Time,65
926,1101,On Time,175
927,1876,On Time,95
928,1154,On Time,45
929,1307,On Time,15
930,1446,On Time,60
931,1132,On Time,87
932,1048,On Time,90
933,1654,Delayed,104
934,1553,On Time,78
935,1425,On Time,53
936,1912,On Time,94
937,1244,On Time,144
938,1577,On Time,45
939,1053,On Time,141
940,1653,On Time,107
941,1032,On Time,78
942,1282,On Time,59
943,1106,On Time,82
944,1640,On Time,64
945,1679,On Time,30
946,1169,On Time,157
947,1172,On Time,151
948,1327,Delayed,48
949,1648,On Time,27
950,1120,On Time,120
951,1230,On Time,82
952,1771,Delayed,74
953,1833,On Time,32
954,1617,On Time,178
955,1183,On Time,130
956,1221,On Time,156
957,1007,On Time,77
958,1591,On Time,30
959,1171,Delayed,91
960,1392,On Time,152
961,1695,On Time,119
962,1708,On Time,24
963,1194,On Time,154
964,1234,On Time,138
965,1175,On Time,24
966,1356,On Time,83
967,1061,On Time,148
968,1575,On Time,102
969,1050,On Time,144
970,1266,Delayed,174
971,1425,On Time,105
972,1202,On Time,39
973,1111,On Time,19
974,1160,On Time,135
975,1252,On Time,173
976,1797,On Time,95
977,1652,Delayed,80
978,1937,On Time,56
979,1048,On Time,165
980,1400,On Time,136
981,1027,Delayed,142
982,1039,On Time,122
983,1027,On Time,84
984,1615,On Time,160
985,1594,Delayed,111
986,1791,On Time,118
987,1108,On Time,108
988,1958,On Time,19
989,1944,On Time,117
990,1835,On Time,51
991,1927,Delayed,70
992,1549,On Time,74
993,1073,Delayed,18
994,1010,On Time,34
995,1003,On Time,128
996,1971,On Time,59
997,1213,On Time,122
998,1727,On Time,46
999,1504,On Time,43
1000,1928,On Time,74
1001,1404,On Time,95
1002,1297,On Time,93
1003,1677,Delayed,163
1004,1206,On Time,177
1005,1985,On Time,56
1006,1049,On Time,141
1007,1365,On Time,170
1008,1537,On Time,148
1009,1308,On Time,33
1010,1484,On Time,100
1011,1656,On Time,21
1012,1632,Delayed,124
1013,1296,On Time,19
1014,1864,On Time,155
1015,1796,Delayed,108
1016,1185,On Time,172
1017,1670,On Time,163
1018,1319,On Time,33
1019,1336,On Time,148
1020,1806,On Time,59
1021,1420,On Time,167
1022,1660,On Time,24
1023,1345,On Time,73
1024,1679,On Time,46
1025,1858,Delayed,31
1026,1185,On Time,118
1027,1647,On Time,108
1028,1144,On Time,53
1029,1829,On Time,70
1030,1875,On Time,131
1031,1538,On Time,99
1032,1401,On Time,158
1033,1500,On Time,17
1034,1469,On Time,179
1035,1022,On Time,158
1036,1885,Delayed,127
1037,1936,On Time,98
1038,1900,On Time,125
1039,1193,On Time,68
1040,1927,On Time,109
1041,1439,On Time,58
1042,1304,On Time,123
1043,1563,On Time,66
1044,1554,On Time,50
1045,1892,Delayed,127
1046,1087,On Time,43
1047,1104,On Time,90
1048,1323,On Time,68
1049,1529,On Time,50
1050,1779,On Time,87
1051,1861,On Time,172
1052,1483,On Time,121
1053,1129,On Time,147
1054,1537,On Time,25
1055,1935,On Time,97
1056,1931,On Time,152
1057,1800,Delayed,131
1058,1985,On Time,18
1059,1534,On Time,46
1060,1436,On Time,123
1061,1780,Delayed,138
1062,1290,On Time,103
1063,1615,On Time,35
1064,1693,On Time,175
1065,1158,On Time,121
1066,1713,On Time,37
1067,1368,On Time,127
1068,1060,On Time,172
1069,1198,On Time,75
1070,1747,On Time,29
1071,1735,On Time,114
1072,1485,On Time,86
1073,1567,On Time,88
1074,1907,On Time,137
1075,1041,On Time,27
1076,1794,On Time,89
1077,1008,On Time,170
1078,1142,On Time,67
1079,1367,On Time,76
1080,1944,On Time,168
1081,1965,On Time,35
1082,1546,On Time,18
1083,1229,Delayed,158
1084,1191,On Time,160
1085,1485,On Time,24
1086,1773,On Time,87
1087,1208,Delayed,104
1088,1884,On Time,134
1089,1868,On Time,120
1090,1282,On Time,43
1091,1171,On Time,63
1092,1404,On Time,160
1093,1598,On Time,33
1094,1789,On Time,21
1095,1004,On Time,60
1096,1344,On Time,89
1097,1550,On Time,173
1098,1287,On Time,17
1099,1120,On Time,25
1100,1088,On Time,37
1101,1728,On Time,164
1102,1152,On Time,30
1103,1314,On Time,106
1104,1998,On Time,155
1105,1351,On Time,139
1106,1788,On Time,77
1107,1094,On Time,126
1108,1933,On Time,87
1109,1434,On Time,146
1110,1263,On Time,136
1111,1778,On Time,40
1112,1303,Delayed,116
1113,1717,On Time,45
1114,1624,On Time,25
1115,1263,On Time,58
1116,1999,On Time,122
1117,1486,On Time,66
1118,1438,Delayed,146
1119,1584,On Time,22
1120,1054,On Time,158
1121,1401,On Time,141
1122,1205,On Time,36
1123,1279,On Time,42
1124,1779,On Time,95
1125,1835,On Time,136
1126,1200,On Time,44
1127,1251,On Time,137
1128,1748,On Time,51
1129,1677,On Time,95
1130,1402,On Time,19
1131,1813,On Time,42
1132,1025,Delayed,19
1133,1050,Delayed,132
1134,1420,On Time,56
1135,1556,On Time,112
1136,1606,On Time,92
1137,1324,On Time,74
1138,1281,On Time,145
1139,1368,Delayed,66
1140,1888,Delayed,119
1141,1828,On Time,94
1142,1435,On Time,113
1143,1287,On Time,75
1144,1134,Delayed,59
1145,1014,On Time,83
1146,1257,On Time,97
1147,1164,On Time,139
1148,1484,On Time,164
1149,1478,Delayed,127
1150,1444,On Time,122
1151,1707,On Time,85
1152,1802,Delayed,126
1153,1521,On Time,107
1154,1993,On Time,98
1155,1883,Delayed,105
1156,1505,On Time,57
1157,1230,On Time,50
1158,1292,On Time,136
1159,1093,Delayed,161
1160,1177,On Time,41
1161,1119,On Time,177
1162,1108,On Time,90
1163,1640,On Time,176
1164,1273,On Time,19
1165,1759,On Time,153
1166,1348,Delayed,113
1167,1313,On Time,154
1168,1111,Delayed,79
1169,1336,On Time,155
1170,1208,On Time,71
1171,1618,On Time,138
1172,1760,On Time,48
1173,1496,On Time,17
1174,1803,On Time,134
1175,1977,On Time,105
1176,1831,On Time,171
1177,1402,Delayed,147
1178,1324,On Time,76
1179,1518,On Time,66
1180,1102,On Time,144
1181,1074,On Time,105
1182,1305,On Time,52
1183,1045,On Time,177
1184,1718,On Time,103
1185,1784,On Time,157
1186,1521,On Time,163
1187,1393,On Time,94
1188,1439,On Time,65
1189,1375,On Time,107
1190,1835,Delayed,156
1191,1112,On Time,22
1192,1176,Delayed,46
1193,1398,On Time,69
1194,1546,On Time,91
1195,1280,Delayed,42
1196,1738,On Time,63
1197,1171,On Time,59
1198,1447,On Time,135
1199,1718,On Time,162
1200,1367,On Time,159
1201,1023,On Time,62
1202,1626,Delayed,43
1203,1276,On Time,58
1204,1570,On Time,18
1205,1379,On Time,116
1206,1669,Delayed,103
1207,1397,On Time,51
1208,1445,On Time,52
1209,1094,Delayed,96
1210,1180,On Time,138
1211,1367,On Time,136
1212,1258,On Time,36
1213,1596,On Time,148
1214,1632,On Time,76
1215,1384,On Time,21
1216,1525,On Time,118
1217,1014,Delayed,104
1218,1619,On Time,35
1219,1730,On Time,65
1220,1289,On Time,99
1221,1615,On Time,114
1222,1396,On Time,135
1223,1979,On Time,129
1224,1642,Delayed,71
1225,1121,On Time,158
1226,1182,On Time,143
1227,1179,On Time,26
1228,1311,On Time,47
1229,1735,On Time,67
1230,1894,On Time,131
1231,1152,On Time,99
