product_id,product_name,category,stock_level,out_of_stock
2457,Milk,Bakery,176,No
2458,Bread,Bakery,489,No
2459,Fruits,Bakery,185,Yes
2460,Chicken,Bakery,487,No
2461,Vegetables,Dairy,204,No
2462,Eggs,Meat,193,No
2463,Fruits,Grains,397,No
2464,Rice,Meat,493,No
2465,Eggs,Dairy,481,No
2466,Chicken,Dairy,330,No
2467,Rice,Meat,173,No
2468,Fruits,Produce,25,No
2469,Milk,Produce,256,No
2470,Vegetables,Meat,433,No
2471,Eggs,Meat,9,No
2472,Milk,Meat,153,Yes
2473,Milk,Grains,304,No
2474,Vegetables,Meat,152,No
2475,Eggs,Produce,298,No
2476,Milk,Dairy,202,No
2477,Milk,Produce,179,No
2478,Chicken,Meat,351,Yes
2479,Eggs,Produce,126,No
2480,Eggs,Bakery,128,No
2481,Fruits,Bakery,8,Yes
2482,Bread,Meat,58,No
2483,Chicken,Dairy,76,No
2484,Chicken,Dairy,437,No
2485,Fruits,Meat,300,No
2486,Chicken,Dairy,462,No
2487,Vegetables,Grains,480,No
2488,Milk,Produce,427,No
2489,Chicken,Bakery,322,No
2490,Vegetables,Produce,388,No
2491,Fruits,Meat,434,No
2492,Chicken,Bakery,300,No
2493,Chicken,Produce,247,No
2494,Rice,Grains,365,No
2495,Milk,Bakery,179,No
2496,Chicken,Meat,371,No
2497,Chicken,Dairy,34,No
2498,Bread,Grains,353,No
2499,Bread,Dairy,333,No
2500,Fruits,Produce,236,No
